#声母拼音,声母名稱,朗读音,声母名稱
p	幫	p	幫
ph	滂	pʰ	滂
b	並	b	並
m	明	m	明
t	端	t	端
th	透	tʰ	透
d	定	d	定
n	泥	n	泥
tr	知	ʈ	知
thr	徹	ʈʰ	徹
dr	澄	ɖ	澄
nr	娘	ɳ	娘
l	來	l	來
c	精	t͡s	精
ch	清	t͡sʰ	清
z	從	d͡z	從
s	心	s	心
zs	邪	z	邪
cr	莊	t͡ʂ	莊
chr	初	t͡ʂʰ	初
zr	崇	d͡ʐ	崇
sr	生	ʂ	生
zsr	俟	ʐ	俟
cj	章	t͡ɕ	章
chj	昌	t͡ɕʰ	昌
zj	常	d͡ʑ	常
sj	書	ɕ	書
zsj	船	ʑ	船
nj	日	ɲ	日
k	見	k	見	#q
kh	谿	kʰ	谿	#qʰ
g	羣	g	羣	#ɢ
ng	疑	ŋ	疑	#ɴ
h	曉	h	曉	#χ
gh	匣	ɦ	匣	#ʁ
q	影	ʔ	影
_	云	#拼作零声母	_	云	#拼作零声母，或j̈
j	以	j	以
