Crank Angle	PCYL1	
deg	bar	
-360	0.9381	
-359	0.9201	
-358	0.8781	
-357	0.8661	
-356	0.8121	
-355	0.7761	
-354	0.7521	
-353	0.7161	
-352	0.7041	
-351	0.6441	
-350	0.5661	
-349	0.5121	
-348	0.5121	
-347	0.4881	
-346	0.4221	
-345	0.4161	
-344	0.3681	
-343	0.3621	
-342	0.3501	
-341	0.3381	
-340	0.2961	
-339	0.3141	
-338	0.3261	
-337	0.2781	
-336	0.2901	
-335	0.2781	
-334	0.2961	
-333	0.2601	
-332	0.2661	
-331	0.2541	
-330	0.2481	
-329	0.2781	
-328	0.2541	
-327	0.2241	
-326	0.2361	
-325	0.2661	
-324	0.2601	
-323	0.2601	
-322	0.2421	
-321	0.2421	
-320	0.2361	
-319	0.2541	
-318	0.2481	
-317	0.2481	
-316	0.2541	
-315	0.2541	
-314	0.2601	
-313	0.2541	
-312	0.2481	
-311	0.2661	
-310	0.2661	
-309	0.2541	
-308	0.2361	
-307	0.2421	
-306	0.2421	
-305	0.2481	
-304	0.2481	
-303	0.2301	
-302	0.2301	
-301	0.2421	
-300	0.2421	
-299	0.2421	
-298	0.2241	
-297	0.2301	
-296	0.2241	
-295	0.2361	
-294	0.2241	
-293	0.2421	
-292	0.2481	
-291	0.2421	
-290	0.2421	
-289	0.2541	
-288	0.2721	
-287	0.2721	
-286	0.2781	
-285	0.2721	
-284	0.2661	
-283	0.2841	
-282	0.2961	
-281	0.3021	
-280	0.2901	
-279	0.2961	
-278	0.2901	
-277	0.3141	
-276	0.2901	
-275	0.3081	
-274	0.2961	
-273	0.2961	
-272	0.3141	
-271	0.3081	
-270	0.3081	
-269	0.3081	
-268	0.3021	
-267	0.3141	
-266	0.3201	
-265	0.3141	
-264	0.3381	
-263	0.3321	
-262	0.3381	
-261	0.3501	
-260	0.3321	
-259	0.3201	
-258	0.3261	
-257	0.3381	
-256	0.3381	
-255	0.3261	
-254	0.3141	
-253	0.3321	
-252	0.3381	
-251	0.3381	
-250	0.3441	
-249	0.3321	
-248	0.3381	
-247	0.3441	
-246	0.3501	
-245	0.3501	
-244	0.3441	
-243	0.3441	
-242	0.3501	
-241	0.3561	
-240	0.3501	
-239	0.3561	
-238	0.3621	
-237	0.3621	
-236	0.3501	
-235	0.3441	
-234	0.3621	
-233	0.3561	
-232	0.3681	
-231	0.3621	
-230	0.3561	
-229	0.3561	
-228	0.3621	
-227	0.3741	
-226	0.3561	
-225	0.3501	
-224	0.3501	
-223	0.3681	
-222	0.3801	
-221	0.3561	
-220	0.3561	
-219	0.3561	
-218	0.3501	
-217	0.3561	
-216	0.3621	
-215	0.3621	
-214	0.3621	
-213	0.3621	
-212	0.3621	
-211	0.3441	
-210	0.3681	
-209	0.3681	
-208	0.3621	
-207	0.3501	
-206	0.3441	
-205	0.3621	
-204	0.3681	
-203	0.3681	
-202	0.3381	
-201	0.3381	
-200	0.3441	
-199	0.3621	
-198	0.3561	
-197	0.3561	
-196	0.3561	
-195	0.3501	
-194	0.3501	
-193	0.3561	
-192	0.3441	
-191	0.3501	
-190	0.3561	
-189	0.3561	
-188	0.3381	
-187	0.3381	
-186	0.3441	
-185	0.3441	
-184	0.3441	
-183	0.3441	
-182	0.3381	
-181	0.3501	
-180	0.3501	
-179	0.3501	
-178	0.3381	
-177	0.3381	
-176	0.3321	
-175	0.3441	
-174	0.3381	
-173	0.3441	
-172	0.3501	
-171	0.3501	
-170	0.3381	
-169	0.3381	
-168	0.3501	
-167	0.3501	
-166	0.3501	
-165	0.3441	
-164	0.3381	
-163	0.3381	
-162	0.3561	
-161	0.3381	
-160	0.3321	
-159	0.3261	
-158	0.3381	
-157	0.3381	
-156	0.3501	
-155	0.3441	
-154	0.3501	
-153	0.3441	
-152	0.3381	
-151	0.3501	
-150	0.3381	
-149	0.3501	
-148	0.3441	
-147	0.3381	
-146	0.3381	
-145	0.3381	
-144	0.3501	
-143	0.3561	
-142	0.3681	
-141	0.3381	
-140	0.3381	
-139	0.3381	
-138	0.3681	
-137	0.3621	
-136	0.3621	
-135	0.3501	
-134	0.3561	
-133	0.3561	
-132	0.3681	
-131	0.3621	
-130	0.3681	
-129	0.3681	
-128	0.3681	
-127	0.3801	
-126	0.3741	
-125	0.3861	
-124	0.3861	
-123	0.3981	
-122	0.3981	
-121	0.3981	
-120	0.3981	
-119	0.4101	
-118	0.4041	
-117	0.3981	
-116	0.4221	
-115	0.3981	
-114	0.4341	
-113	0.4521	
-112	0.4461	
-111	0.4521	
-110	0.4401	
-109	0.4581	
-108	0.4701	
-107	0.4821	
-106	0.4641	
-105	0.4581	
-104	0.4521	
-103	0.4641	
-102	0.4701	
-101	0.4881	
-100	0.5001	
-99	0.4941	
-98	0.4941	
-97	0.5121	
-96	0.4941	
-95	0.5241	
-94	0.5121	
-93	0.5361	
-92	0.5541	
-91	0.5481	
-90	0.5541	
-89	0.5601	
-88	0.5541	
-87	0.5661	
-86	0.5781	
-85	0.5841	
-84	0.5661	
-83	0.6021	
-82	0.6261	
-81	0.6321	
-80	0.6621	
-79	0.6681	
-78	0.6981	
-77	0.7221	
-76	0.7281	
-75	0.7401	
