Crank Angle	PCYL1	
deg	bar	
-360	0.959	
-359	0.941	
-358	0.905	
-357	0.857	
-356	0.815	
-355	0.779	
-354	0.743	
-353	0.731	
-352	0.587	
-351	0.581	
-350	0.593	
-349	0.509	
-348	0.425	
-347	0.407	
-346	0.389	
-345	0.371	
-344	0.353	
-343	0.341	
-342	0.359	
-341	0.377	
-340	0.353	
-339	0.359	
-338	0.335	
-337	0.329	
-336	0.317	
-335	0.299	
-334	0.287	
-333	0.275	
-332	0.275	
-331	0.281	
-330	0.281	
-329	0.281	
-328	0.281	
-327	0.275	
-326	0.257	
-325	0.269	
-324	0.281	
-323	0.281	
-322	0.281	
-321	0.263	
-320	0.263	
-319	0.275	
-318	0.269	
-317	0.263	
-316	0.269	
-315	0.257	
-314	0.257	
-313	0.257	
-312	0.263	
-311	0.257	
-310	0.245	
-309	0.251	
-308	0.245	
-307	0.245	
-306	0.251	
-305	0.245	
-304	0.251	
-303	0.233	
-302	0.245	
-301	0.263	
-300	0.263	
-299	0.275	
-298	0.281	
-297	0.275	
-296	0.287	
-295	0.293	
-294	0.299	
-293	0.305	
-292	0.293	
-291	0.305	
-290	0.293	
-289	0.305	
-288	0.311	
-287	0.329	
-286	0.329	
-285	0.323	
-284	0.323	
-283	0.329	
-282	0.329	
-281	0.335	
-280	0.335	
-279	0.347	
-278	0.341	
-277	0.335	
-276	0.341	
-275	0.353	
-274	0.353	
-273	0.341	
-272	0.347	
-271	0.341	
-270	0.353	
-269	0.377	
-268	0.353	
-267	0.353	
-266	0.365	
-265	0.359	
-264	0.365	
-263	0.365	
-262	0.365	
-261	0.353	
-260	0.353	
-259	0.359	
-258	0.371	
-257	0.371	
-256	0.365	
-255	0.371	
-254	0.365	
-253	0.371	
-252	0.377	
-251	0.383	
-250	0.377	
-249	0.383	
-248	0.377	
-247	0.377	
-246	0.383	
-245	0.389	
-244	0.377	
-243	0.371	
-242	0.371	
-241	0.377	
-240	0.383	
-239	0.389	
-238	0.377	
-237	0.377	
-236	0.377	
-235	0.371	
-234	0.377	
-233	0.377	
-232	0.371	
-231	0.365	
-230	0.365	
-229	0.359	
-228	0.377	
-227	0.377	
-226	0.377	
-225	0.353	
-224	0.365	
-223	0.353	
-222	0.371	
-221	0.371	
-220	0.353	
-219	0.353	
-218	0.359	
-217	0.365	
-216	0.371	
-215	0.371	
-214	0.365	
-213	0.359	
-212	0.359	
-211	0.353	
-210	0.359	
-209	0.359	
-208	0.347	
-207	0.353	
-206	0.353	
-205	0.359	
-204	0.347	
-203	0.353	
-202	0.359	
-201	0.347	
-200	0.341	
-199	0.347	
-198	0.341	
-197	0.353	
-196	0.341	
-195	0.353	
-194	0.347	
-193	0.341	
-192	0.347	
-191	0.347	
-190	0.347	
-189	0.341	
-188	0.353	
-187	0.353	
-186	0.353	
-185	0.353	
-184	0.359	
-183	0.341	
-182	0.353	
-181	0.341	
-180	0.353	
-179	0.347	
-178	0.341	
-177	0.347	
-176	0.347	
-175	0.341	
-174	0.347	
-173	0.353	
-172	0.353	
-171	0.353	
-170	0.341	
-169	0.353	
-168	0.353	
-167	0.353	
-166	0.353	
-165	0.347	
-164	0.353	
-163	0.359	
-162	0.359	
-161	0.359	
-160	0.341	
-159	0.347	
-158	0.347	
-157	0.353	
-156	0.359	
-155	0.359	
-154	0.353	
-153	0.353	
-152	0.347	
-151	0.353	
-150	0.353	
-149	0.365	
-148	0.365	
-147	0.365	
-146	0.365	
-145	0.365	
-144	0.365	
-143	0.371	
-142	0.365	
-141	0.365	
-140	0.371	
-139	0.365	
-138	0.377	
-137	0.377	
-136	0.383	
-135	0.377	
-134	0.371	
-133	0.383	
-132	0.383	
-131	0.407	
-130	0.389	
-129	0.401	
-128	0.395	
-127	0.401	
-126	0.407	
-125	0.413	
-124	0.413	
-123	0.407	
-122	0.407	
-121	0.437	
-120	0.413	
-119	0.437	
-118	0.425	
-117	0.431	
-116	0.431	
-115	0.449	
-114	0.455	
-113	0.455	
-112	0.455	
-111	0.449	
-110	0.461	
-109	0.461	
-108	0.461	
-107	0.479	
-106	0.491	
-105	0.473	
-104	0.491	
-103	0.497	
-102	0.503	
-101	0.497	
-100	0.509	
-99	0.515	
-98	0.515	
-97	0.521	
-96	0.527	
-95	0.545	
-94	0.545	
-93	0.551	
-92	0.551	
-91	0.557	
-90	0.581	
-89	0.581	
-88	0.575	
-87	0.599	
-86	0.605	
-85	0.617	
-84	0.623	
-83	0.635	
-82	0.653	
-81	0.665	
-80	0.683	
-79	0.695	
-78	0.737	
-77	0.755	
-76	0.785	
-75	0.779	
-74	0.797	
-73	0.821	
-72	0.845	
-71	0.863	
-70	0.893	
-69	0.899	
-68	0.935	
-67	0.953	
-66	0.977	
-65	1.013	
-64	1.019	
-63	1.049	
-62	1.073	
-61	1.109	
-60	1.139	
-59	1.163	
-58	1.211	
-57	1.223	
-56	1.265	
-55	1.307	
-54	1.355	
-53	1.403	
-52	1.439	
-51	1.475	
-50	1.529	
-49	1.565	
-48	1.619	
-47	1.679	
-46	1.733	
-45	1.811	
-44	1.847	
-43	1.913	
-42	1.985	
-41	2.057	
-40	2.135	
-39	2.207	
-38	2.291	
-37	2.357	
-36	2.459	
-35	2.549	
-34	2.633	
-33	2.729	
-32	2.831	
-31	2.927	
-30	3.041	
-29	3.155	
-28	3.269	
-27	3.389	
-26	3.503	
-25	3.641	
-24	3.761	
-23	3.887	
-22	4.019	
-21	4.145	
-20	4.271	
-19	4.415	
-18	4.559	
-17	4.727	
-16	4.859	
-15	4.997	
-14	5.135	
-13	5.285	
-12	5.453	
-11	5.603	
-10	5.765	
-9	5.921	
-8	6.137	
-7	6.329	
-6	6.533	
-5	6.761	
-4	7.001	
-3	7.259	
-2	7.523	
-1	7.799	
0	8.111	
1	8.417	
2	8.711	
3	9.035	
4	9.347	
5	9.665	
6	9.947	
7	10.181	
8	10.379	
9	10.547	
10	10.673	
11	10.775	
12	10.829	
13	10.829	
14	10.805	
15	10.751	
16	10.649	
17	10.541	
18	10.397	
19	10.223	
20	10.031	
21	9.815	
22	9.593	
23	9.359	
24	9.119	
25	8.855	
26	8.597	
27	8.333	
28	8.075	
29	7.829	
30	7.577	
31	7.319	
32	7.091	
33	6.845	
34	6.611	
35	6.383	
36	6.167	
37	5.981	
38	5.753	
39	5.573	
40	5.387	
41	5.219	
42	5.057	
43	4.889	
44	4.745	
45	4.577	
46	4.457	
47	4.307	
48	4.193	
49	4.061	
50	3.935	
51	3.821	
52	3.707	
53	3.593	
54	3.503	
55	3.413	
56	3.311	
57	3.221	
58	3.131	
59	3.053	
60	2.993	
61	2.909	
62	2.843	
63	2.765	
64	2.699	
65	2.639	
66	2.585	
67	2.531	
68	2.459	
69	2.399	
70	2.345	
71	2.303	
72	2.261	
73	2.219	
74	2.177	
75	2.117	
76	2.075	
77	2.057	
78	2.015	
79	1.973	
80	1.925	
81	1.901	
82	1.871	
83	1.829	
84	1.811	
85	1.775	
86	1.745	
87	1.709	
88	1.691	
89	1.661	
90	1.643	
91	1.625	
92	1.601	
93	1.571	
94	1.547	
95	1.529	
96	1.511	
97	1.487	
98	1.469	
99	1.451	
