Crank Angle	PCYL1	
deg	bar	
-360	0.9288	
-359	0.8988	
-358	0.8628	
-357	0.8328	
-356	0.7908	
-355	0.7548	
-354	0.7308	
-353	0.6948	
-352	0.5928	
-351	0.5868	
-350	0.5328	
-349	0.5208	
-348	0.5088	
-347	0.4848	
-346	0.4008	
-345	0.3828	
-344	0.3588	
-343	0.3348	
-342	0.3228	
-341	0.3348	
-340	0.3108	
-339	0.2508	
-338	0.2928	
-337	0.2988	
-336	0.2868	
-335	0.2748	
-334	0.2688	
-333	0.3228	
-332	0.1908	
-331	0.3108	
-330	0.2388	
-329	0.2328	
-328	0.2448	
-327	0.2508	
-326	0.2328	
-325	0.2148	
-324	0.2448	
-323	0.2388	
-322	0.2328	
-321	0.2268	
-320	0.2388	
-319	0.2208	
-318	0.2268	
-317	0.2448	
-316	0.2388	
-315	0.2328	
-314	0.2328	
-313	0.2388	
-312	0.2328	
-311	0.2328	
-310	0.2268	
-309	0.2268	
-308	0.2208	
-307	0.2268	
-306	0.2328	
-305	0.2268	
-304	0.2388	
-303	0.2148	
-302	0.2028	
-301	0.2268	
-300	0.2208	
-299	0.2148	
-298	0.2208	
-297	0.2148	
-296	0.2208	
-295	0.2208	
-294	0.2148	
-293	0.2388	
-292	0.2148	
-291	0.2208	
-290	0.2268	
-289	0.2448	
-288	0.2208	
-287	0.2328	
-286	0.2448	
-285	0.2388	
-284	0.2328	
-283	0.2448	
-282	0.2628	
-281	0.2628	
-280	0.2628	
-279	0.2628	
-278	0.2568	
-277	0.2808	
-276	0.2868	
-275	0.2808	
-274	0.2808	
-273	0.2988	
-272	0.2868	
-271	0.2808	
-270	0.2928	
-269	0.3048	
-268	0.2928	
-267	0.3108	
-266	0.2868	
-265	0.3048	
-264	0.3108	
-263	0.3108	
-262	0.3168	
-261	0.3108	
-260	0.3108	
-259	0.3288	
-258	0.3108	
-257	0.3168	
-256	0.3288	
-255	0.3228	
-254	0.3168	
-253	0.3228	
-252	0.3228	
-251	0.3408	
-250	0.3288	
-249	0.3348	
-248	0.3348	
-247	0.3408	
-246	0.3288	
-245	0.3528	
-244	0.3468	
-243	0.3468	
-242	0.3468	
-241	0.3408	
-240	0.3528	
-239	0.3588	
-238	0.3528	
-237	0.3588	
-236	0.3468	
-235	0.3588	
-234	0.3648	
-233	0.3528	
-232	0.3468	
-231	0.3588	
-230	0.3468	
-229	0.3528	
-228	0.3648	
-227	0.3708	
-226	0.3648	
-225	0.3588	
-224	0.3468	
-223	0.3528	
-222	0.3528	
-221	0.3648	
-220	0.3528	
-219	0.3588	
-218	0.3528	
-217	0.3588	
-216	0.3468	
-215	0.3648	
-214	0.3648	
-213	0.3528	
-212	0.3528	
-211	0.3588	
-210	0.3768	
-209	0.3648	
-208	0.3528	
-207	0.3528	
-206	0.3408	
-205	0.3528	
-204	0.3588	
-203	0.3588	
-202	0.3528	
-201	0.3468	
-200	0.3528	
-199	0.3468	
-198	0.3468	
-197	0.3588	
-196	0.3528	
-195	0.3408	
-194	0.3408	
-193	0.3468	
-192	0.3588	
-191	0.3528	
-190	0.3528	
-189	0.3528	
-188	0.3408	
-187	0.3468	
-186	0.3528	
-185	0.3468	
-184	0.3648	
-183	0.3468	
-182	0.3528	
-181	0.3348	
-180	0.3528	
