Crank Angle	PCYL1	
deg	bar	
-360	0.9335	
-359	0.9035	
-358	0.8735	
-357	0.8075	
-356	0.7775	
-355	0.7415	
-354	0.6875	
-353	0.6695	
-352	0.5795	
-351	0.5255	
-350	0.5075	
-349	0.4535	
-348	0.4355	
-347	0.4115	
-346	0.3695	
-345	0.3575	
-344	0.3335	
-343	0.3155	
-342	0.3215	
-341	0.3035	
-340	0.3095	
-339	0.3155	
-338	0.2855	
-337	0.2855	
-336	0.2855	
-335	0.2975	
-334	0.2795	
-333	0.2855	
-332	0.2795	
-331	0.2735	
-330	0.2675	
-329	0.2795	
-328	0.2735	
-327	0.2735	
-326	0.2675	
-325	0.2615	
-324	0.2495	
-323	0.2495	
-322	0.2495	
-321	0.2315	
-320	0.2315	
-319	0.2315	
-318	0.2435	
-317	0.2315	
-316	0.2195	
-315	0.2135	
-314	0.2255	
-313	0.2255	
-312	0.2315	
-311	0.2375	
-310	0.2435	
-309	0.2495	
-308	0.2495	
-307	0.2735	
-306	0.2795	
-305	0.2795	
-304	0.2735	
-303	0.2795	
-302	0.2735	
-301	0.2855	
-300	0.2915	
-299	0.3095	
-298	0.3035	
-297	0.2915	
-296	0.3035	
-295	0.3035	
-294	0.3095	
-293	0.3215	
-292	0.3215	
-291	0.3095	
-290	0.3215	
-289	0.3335	
-288	0.3335	
-287	0.3335	
-286	0.3395	
-285	0.3335	
-284	0.3215	
-283	0.3275	
-282	0.3335	
-281	0.3455	
-280	0.3455	
-279	0.3335	
-278	0.3395	
-277	0.3575	
-276	0.3455	
-275	0.3395	
-274	0.3455	
-273	0.3455	
-272	0.3515	
-271	0.3575	
-270	0.3455	
-269	0.3635	
-268	0.3635	
-267	0.3575	
-266	0.3515	
-265	0.3635	
-264	0.3635	
-263	0.3695	
-262	0.3575	
-261	0.3515	
-260	0.3395	
-259	0.3395	
-258	0.3575	
-257	0.3515	
-256	0.3455	
-255	0.3395	
-254	0.3275	
-253	0.3395	
-252	0.3455	
-251	0.3335	
-250	0.3335	
-249	0.3395	
-248	0.3275	
-247	0.3335	
-246	0.3455	
-245	0.3275	
-244	0.3275	
-243	0.3215	
-242	0.3275	
-241	0.3335	
-240	0.3335	
-239	0.3335	
-238	0.3275	
-237	0.3155	
-236	0.3095	
-235	0.3275	
-234	0.3155	
-233	0.3275	
-232	0.3155	
-231	0.3095	
-230	0.3095	
-229	0.3155	
-228	0.3095	
-227	0.3155	
-226	0.3095	
-225	0.3095	
-224	0.3155	
-223	0.3215	
-222	0.3095	
-221	0.3155	
-220	0.3095	
-219	0.2975	
-218	0.3215	
-217	0.3035	
-216	0.3155	
-215	0.3095	
-214	0.3095	
-213	0.3095	
-212	0.3035	
-211	0.3095	
-210	0.3155	
-209	0.3275	
-208	0.3095	
-207	0.3035	
-206	0.3035	
-205	0.3155	
-204	0.3155	
-203	0.3275	
-202	0.3095	
-201	0.3155	
-200	0.3035	
-199	0.3275	
-198	0.3335	
-197	0.3215	
-196	0.3215	
-195	0.3215	
-194	0.3275	
-193	0.3275	
-192	0.3275	
-191	0.3335	
-190	0.3275	
-189	0.3275	
-188	0.3335	
-187	0.3335	
-186	0.3335	
-185	0.3335	
-184	0.3395	
-183	0.3275	
-182	0.3275	
-181	0.3395	
-180	0.3455	
-179	0.3455	
-178	0.3395	
-177	0.3335	
-176	0.3335	
-175	0.3335	
-174	0.3395	
-173	0.3395	
-172	0.3455	
-171	0.3335	
-170	0.3395	
-169	0.3515	
-168	0.3515	
-167	0.3635	
-166	0.3455	
-165	0.3335	
-164	0.3395	
-163	0.3455	
-162	0.3635	
-161	0.3575	
-160	0.3455	
-159	0.3455	
-158	0.3575	
-157	0.3455	
-156	0.3635	
-155	0.3695	
-154	0.3575	
-153	0.3575	
-152	0.3635	
-151	0.3515	
-150	0.3575	
-149	0.3635	
-148	0.3515	
-147	0.3635	
-146	0.3515	
-145	0.3635	
-144	0.3575	
-143	0.3635	
-142	0.3575	
-141	0.3815	
-140	0.3635	
-139	0.3635	
-138	0.3635	
-137	0.3755	
-136	0.3755	
-135	0.3815	
-134	0.3695	
-133	0.3755	
-132	0.3815	
-131	0.3935	
-130	0.3935	
-129	0.3875	
-128	0.3875	
-127	0.3875	
-126	0.4055	
-125	0.3935	
-124	0.4055	
-123	0.4055	
-122	0.4235	
-121	0.4055	
-120	0.4175	
-119	0.4295	
-118	0.4235	
-117	0.4235	
-116	0.4235	
-115	0.4475	
-114	0.4535	
-113	0.4655	
-112	0.4535	
-111	0.4535	
-110	0.4475	
-109	0.4655	
-108	0.4775	
-107	0.4715	
-106	0.4775	
-105	0.4895	
-104	0.4895	
-103	0.4895	
-102	0.5135	
-101	0.5135	
-100	0.5135	
-99	0.5135	
-98	0.5195	
-97	0.5195	
-96	0.5255	
-95	0.5375	
-94	0.5555	
-93	0.5615	
-92	0.5615	
-91	0.5615	
-90	0.5795	
-89	0.5855	
-88	0.5975	
-87	0.5975	
-86	0.6035	
-85	0.5975	
-84	0.6095	
-83	0.6275	
-82	0.6455	
-81	0.6755	
-80	0.6995	
-79	0.7115	
-78	0.7355	
-77	0.7715	
-76	0.7715	
-75	0.7835	
-74	0.8015	
-73	0.8375	
-72	0.8495	
-71	0.8555	
-70	0.8855	
-69	0.9095	
-68	0.9275	
-67	0.9515	
-66	0.9815	
-65	0.9995	
-64	1.0415	
-63	1.0595	
-62	1.0895	
-61	1.1135	
-60	1.1495	
-59	1.1855	
-58	1.2095	
-57	1.2515	
-56	1.2875	
-55	1.3175	
-54	1.3715	
-53	1.4195	
-52	1.4615	
-51	1.4915	
-50	1.5395	
-49	1.5875	
-48	1.6535	
-47	1.7075	
-46	1.7615	
-45	1.8155	
-44	1.8815	
-43	1.9415	
-42	2.0195	
-41	2.0855	
-40	2.1575	
-39	2.2175	
-38	2.3015	
-37	2.3855	
-36	2.4755	
-35	2.5775	
-34	2.6555	
-33	2.7395	
-32	2.8415	
-31	2.9615	
-30	3.0635	
-29	3.1775	
-28	3.2855	
-27	3.4055	
-26	3.5135	
-25	3.6455	
-24	3.7715	
-23	3.8915	
-22	4.0115	
-21	4.1435	
-20	4.2695	
-19	4.4015	
-18	4.5215	
-17	4.6775	
-16	4.7855	
-15	4.9295	
-14	5.0495	
-13	5.1635	
-12	5.2895	
-11	5.4275	
-10	5.5295	
-9	5.6495	
-8	5.7575	
-7	5.8835	
-6	6.0095	
-5	6.1295	
-4	6.2375	
-3	6.3515	
-2	6.4715	
-1	6.5915	
0	6.7175	
1	6.8255	
2	6.9515	
3	7.0775	
4	7.1915	
5	7.3295	
6	7.4435	
7	7.5635	
8	7.6715	
9	7.7615	
10	7.8455	
11	7.9295	
12	8.0075	
13	8.0555	
14	8.1095	
15	8.1455	
16	8.1695	
17	8.1995	
18	8.2115	
19	8.2115	
20	8.1875	
21	8.1335	
22	8.0735	
23	8.0135	
24	7.9355	
25	7.8335	
26	7.7315	
27	7.6055	
28	7.4855	
29	7.3475	
30	7.2155	
31	7.0655	
32	6.8975	
33	6.7415	
34	6.5735	
35	6.4055	
36	6.2255	
37	6.0695	
38	5.8895	
39	5.7095	
40	5.5535	
41	5.3915	
42	5.2355	
43	5.0795	
44	4.9295	
45	4.7855	
46	4.6235	
47	4.5155	
48	4.3835	
49	4.2455	
50	4.1255	
51	4.0055	
52	3.8975	
53	3.7835	
54	3.6935	
55	3.6035	
56	3.4955	
57	3.3995	
58	3.3035	
59	3.2255	
60	3.1475	
61	3.0575	
62	2.9915	
63	2.9195	
64	2.8475	
65	2.7935	
66	2.7275	
67	2.6795	
68	2.6015	
69	2.5415	
70	2.4935	
71	2.4455	
72	2.3855	
73	2.3495	
74	2.2835	
75	2.2475	
76	2.1995	
77	2.1635	
78	2.1275	
79	2.0915	
80	2.0495	
81	1.9955	
82	1.9715	
83	1.9415	
84	1.9175	
85	1.8755	
86	1.8455	
87	1.8155	
88	1.7915	
89	1.7615	
90	1.7435	
91	1.7255	
92	1.6835	
93	1.6655	
94	1.6295	
95	1.6055	
96	1.6055	
97	1.5755	
