Crank Angle	PCYL1	
deg	bar	
-360	0.9322	
-359	0.9022	
-358	0.8602	
-357	0.8242	
-356	0.7522	
-355	0.7042	
-354	0.6502	
-353	0.5962	
-352	0.5542	
-351	0.4882	
-350	0.4402	
-349	0.4102	
-348	0.3742	
-347	0.3502	
-346	0.3442	
-345	0.3142	
-344	0.3082	
-343	0.3022	
-342	0.3022	
-341	0.2902	
-340	0.2722	
-339	0.2662	
-338	0.2602	
-337	0.2542	
-336	0.2542	
-335	0.2422	
-334	0.2422	
-333	0.2422	
-332	0.2482	
-331	0.2602	
-330	0.2662	
-329	0.2722	
-328	0.2782	
-327	0.2902	
-326	0.2962	
-325	0.3022	
-324	0.3202	
-323	0.3322	
-322	0.3322	
-321	0.3262	
-320	0.3442	
-319	0.3502	
-318	0.3562	
-317	0.3622	
-316	0.3562	
-315	0.3622	
-314	0.3682	
-313	0.3622	
-312	0.3742	
-311	0.3862	
-310	0.3682	
-309	0.3802	
-308	0.3682	
-307	0.3802	
-306	0.3802	
-305	0.3622	
-304	0.3682	
-303	0.3682	
-302	0.3442	
-301	0.3562	
-300	0.3562	
-299	0.3382	
-298	0.3322	
-297	0.3202	
-296	0.3382	
-295	0.3202	
-294	0.3082	
-293	0.3142	
-292	0.3082	
-291	0.3022	
-290	0.2962	
-289	0.2902	
-288	0.3022	
-287	0.2902	
-286	0.2962	
-285	0.2782	
-284	0.2842	
-283	0.2842	
-282	0.2842	
-281	0.2962	
-280	0.2902	
-279	0.2842	
-278	0.2842	
-277	0.2902	
-276	0.2842	
-275	0.3022	
-274	0.3022	
-273	0.2962	
-272	0.3082	
-271	0.3022	
-270	0.3202	
-269	0.3322	
-268	0.3262	
-267	0.3322	
-266	0.3202	
-265	0.3322	
-264	0.3322	
-263	0.3382	
-262	0.3442	
-261	0.3442	
-260	0.3442	
-259	0.3442	
-258	0.3382	
-257	0.3502	
-256	0.3502	
-255	0.3502	
-254	0.3442	
-253	0.3562	
-252	0.3442	
-251	0.3502	
-250	0.3442	
-249	0.3442	
-248	0.3322	
-247	0.3502	
-246	0.3502	
-245	0.3502	
-244	0.3382	
-243	0.3322	
-242	0.3262	
-241	0.3322	
-240	0.3382	
-239	0.3262	
-238	0.3262	
-237	0.3322	
-236	0.3262	
-235	0.3322	
-234	0.3322	
-233	0.3322	
-232	0.3262	
-231	0.3202	
-230	0.3142	
-229	0.3142	
-228	0.3202	
-227	0.3142	
-226	0.3142	
-225	0.3022	
-224	0.3022	
-223	0.3142	
-222	0.3082	
-221	0.3262	
-220	0.3082	
-219	0.3022	
-218	0.3022	
-217	0.3082	
-216	0.3142	
-215	0.3022	
-214	0.3022	
-213	0.3022	
-212	0.3022	
-211	0.3022	
-210	0.3082	
-209	0.3202	
-208	0.3082	
-207	0.3142	
-206	0.3082	
-205	0.3202	
-204	0.3262	
-203	0.3142	
-202	0.3202	
-201	0.3142	
-200	0.3202	
-199	0.3202	
-198	0.3322	
-197	0.3322	
-196	0.3322	
-195	0.3262	
-194	0.3262	
-193	0.3322	
-192	0.3322	
-191	0.3322	
-190	0.3382	
-189	0.3322	
-188	0.3322	
-187	0.3322	
-186	0.3442	
-185	0.3502	
-184	0.3442	
-183	0.3322	
-182	0.3322	
-181	0.3382	
-180	0.3382	
-179	0.3442	
-178	0.3382	
-177	0.3322	
-176	0.3502	
-175	0.3322	
-174	0.3562	
-173	0.3322	
-172	0.3382	
-171	0.3322	
-170	0.3262	
-169	0.3322	
-168	0.3442	
-167	0.3322	
-166	0.3382	
-165	0.3202	
-164	0.3202	
-163	0.3262	
-162	0.3382	
-161	0.3322	
-160	0.3142	
-159	0.3262	
-158	0.3322	
-157	0.3262	
-156	0.3382	
-155	0.3322	
-154	0.3322	
-153	0.3262	
-152	0.3322	
-151	0.3202	
-150	0.3382	
-149	0.3382	
-148	0.3322	
-147	0.3322	
-146	0.3382	
-145	0.3442	
-144	0.3502	
-143	0.3442	
-142	0.3442	
-141	0.3562	
-140	0.3502	
-139	0.3442	
-138	0.3562	
-137	0.3622	
-136	0.3622	
-135	0.3622	
-134	0.3562	
-133	0.3562	
-132	0.3622	
-131	0.3742	
-130	0.3622	
-129	0.3742	
-128	0.3682	
-127	0.3802	
-126	0.3742	
-125	0.3862	
-124	0.3922	
-123	0.3862	
-122	0.3862	
-121	0.3862	
-120	0.3922	
-119	0.3922	
-118	0.3922	
-117	0.4042	
-116	0.4282	
-115	0.4162	
-114	0.4162	
-113	0.4282	
-112	0.4342	
-111	0.4402	
-110	0.4342	
-109	0.4522	
-108	0.4462	
-107	0.4522	
-106	0.4522	
-105	0.4582	
-104	0.4702	
-103	0.4702	
-102	0.4762	
-101	0.4882	
-100	0.4942	
-99	0.4942	
-98	0.4942	
-97	0.5002	
-96	0.5062	
-95	0.5062	
-94	0.5122	
-93	0.5062	
-92	0.5242	
-91	0.5362	
-90	0.5362	
-89	0.5482	
-88	0.5602	
-87	0.5722	
-86	0.5662	
-85	0.5782	
-84	0.5722	
-83	0.5782	
-82	0.6142	
-81	0.6322	
-80	0.6622	
-79	0.6742	
-78	0.7042	
-77	0.7282	
-76	0.7402	
-75	0.7582	
-74	0.7642	
-73	0.8002	
-72	0.8062	
-71	0.8362	
-70	0.8542	
-69	0.8662	
-68	0.8962	
-67	0.9142	
-66	0.9322	
-65	0.9622	
-64	0.9982	
-63	1.0102	
-62	1.0282	
-61	1.0642	
-60	1.1122	
-59	1.1422	
-58	1.1602	
-57	1.1842	
-56	1.2262	
-55	1.2682	
-54	1.3042	
-53	1.3522	
-52	1.3822	
-51	1.4242	
-50	1.4602	
-49	1.5142	
-48	1.5742	
-47	1.6222	
-46	1.6582	
-45	1.7182	
-44	1.7722	
-43	1.8382	
-42	1.9042	
-41	1.9762	
-40	2.0302	
-39	2.1202	
